year,State,population,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,Total
2017,IA,3143637,9038,98,1305.0,1269,6366,65652,14711,45441,5500,149380.0
2017,ID,1718904,4111,42,755.0,222,3092,28557,5837,20570,2150,65336.0
2017,IL,12786196,55777,983,5424.0,17731,31639,255108,43355,190860,20893,621770.0
2017,IN,6660082,26307,413,2612.0,7035,16247,158932,29799,114395,14738,370478.0
2017,KS,2910689,11654,134,1504.0,1633,8383,79387,13102,58891,7394,182082.0
2017,KY,4453874,10292,265,1817.0,2967,5243,95899,20535,65006,10358,212382.0
2017,LA,4670818,25986,576,1850.0,5385,18175,157272,34135,112042,11095,366516.0
2017,MA,6863246,24318,172,2199.0,4874,17073,97977,16916,73573,7488,244590.0
2017,MD,6024891,30321,558,1712.0,11189,16862,134705,23526,97657,13522,330052.0
2017,ME,1335063,1610,23,470.0,249,868,20142,3337,16012,793,43504.0
2017,MI,9976447,44883,569,7110.0,6508,30696,179839,35833,124410,19596,449444.0
2017,MN,5568155,13345,114,2405.0,3627,7199,122430,18828,93602,10000,271550.0
2017,MO,6108612,32450,599,2737.0,6362,22752,173380,30086,123356,19938,411660.0
2017,MS,2989663,7661,190,658.0,2492,4321,82764,22449,55968,4347,180850.0
2017,MT,1053090,3937,41,639.0,234,3023,27294,3623,21073,2598,62462.0
2017,NC,10270800,38043,622,1944.0,9884,25593,265483,65247,184119,16117,607052.0
2017,ND,755176,2133,10,406.0,183,1534,16653,2947,11944,1762,37572.0
2017,NE,1917575,5979,42,1191.0,1020,3726,43856,6513,32064,5279,99670.0
2017,NH,1349767,2642,13,619.0,441,1569,18550,2554,15087,909,42384.0
2017,NJ,8888543,20604,324,1505.0,7895,10880,140086,23891,104025,12170,321380.0
2017,NM,2093395,16300,144,1244.0,3732,11180,81865,17872,52284,11709,196330.0
2017,NV,2972405,16663,266,1896.0,4841,9660,78320,20049,45459,12812,189966.0
2017,NY,19590719,70746,550,6297.0,20122,43777,293390,34928,245093,13369,728272.0
2017,OH,11664129,34621,741,5833.0,11224,16823,280557,57521,202320,20716,630356.0
2017,OK,3932640,17989,243,2220.0,3007,12519,113611,28749,72546,12316,263200.0
2017,OR,4146592,11629,105,1992.0,2474,7058,122524,17415,88091,17018,268306.0
2017,PA,12790447,40030,742,4216.0,11777,23295,210316,31925,165434,12957,500692.0
2017,RI,1056486,2474,21,454.0,474,1525,18585,3219,13882,1484,42118.0
2017,SC,5021219,25412,380,2576.0,3884,18572,160368,31165,114931,14272,371560.0
2017,SD,873286,3753,27,575.0,264,2887,16588,2835,12285,1468,40682.0
